hash,key,value,next
0,williamstravis,-108,tiffanyward
0,tiffanyward,32,elliottjessica
0,elliottjessica,-1691,rebekahkim
0,rebekahkim,1507,curtisgordon
0,curtisgordon,-851,nicholasholden
0,nicholasholden,530,thomasdustin
0,thomasdustin,-2533,kevinstephens
0,kevinstephens,-1629,fsmith
0,fsmith,2638,xmorton
0,xmorton,4208,marisaaa
0,marisaaa,438,dayvanessa
0,dayvanessa,1182,rosselizabeth
0,rosselizabeth,2795,banksoscar
0,banksoscar,2003,mezarobert
0,mezarobert,2091,cliffordaa
0,cliffordaa,1311,twarner
0,twarner,-539,katrinamadden
0,katrinamadden,2809,angelicakline
0,angelicakline,2197,allenwendy
0,allenwendy,3620,franklinaa
0,franklinaa,2244,catherineortiz
0,catherineortiz,-3288,millercharles
0,millercharles,1822,lrodriguez
0,lrodriguez,2113,carolaa
0,carolaa,-295,jasonbrown
0,jasonbrown,3412,joaa
0,joaa,734,kellycraig
0,kellycraig,1540,jessewallace
0,jessewallace,-1302,martinemily
0,martinemily,-935,orrjames
0,orrjames,222,andrewaa
0,andrewaa,-1976,brownlauren
0,brownlauren,-1628,sherriaa
0,sherriaa,-313,garciacarlos
0,garciacarlos,-2224,morgangardner
0,morgangardner,2705,awalker
0,awalker,1761,mercedeswhitaker
0,mercedeswhitaker,2461,jessicaharris
0,jessicaharris,1660,NULL

1,bowmanthomas,950,collinsjerry
1,collinsjerry,3014,ucoleman
1,ucoleman,-35,sandersthomas
1,sandersthomas,-2483,allisonmontes
1,allisonmontes,-2474,josephwaller
1,josephwaller,-131,williamhall
1,williamhall,-447,royaa
1,royaa,-430,browndakota
1,browndakota,-4025,lmorris
1,lmorris,2533,jaredaa
1,jaredaa,130,dianarodriguez
1,dianarodriguez,1035,camposmary
1,camposmary,-1787,thomaskristen
1,thomaskristen,1782,tinamoreno
1,tinamoreno,1853,chavezjeffrey
1,chavezjeffrey,-2293,josephrowland
1,josephrowland,2712,ddiaz
1,ddiaz,390,umartin
1,umartin,1157,millseddie
1,millseddie,443,oconnellnoah
1,oconnellnoah,2552,moorebrooke
1,moorebrooke,2191,arthuraa
1,arthuraa,1475,shall
1,shall,2727,mwerner
1,mwerner,-2453,stevenhernandez
1,stevenhernandez,3794,gardnershannon
1,gardnershannon,3215,shelleyaa
1,shelleyaa,-2180,zholder
1,zholder,920,ghansen
1,ghansen,1957,kellyjohnson
1,kellyjohnson,-447,piercebrandon
1,piercebrandon,2770,moorenathan
1,moorenathan,1039,hillalicia
1,hillalicia,-1015,graykevin
1,graykevin,-954,henryaa
1,henryaa,-2454,kelleyterri
1,kelleyterri,-848,kevinvalencia
1,kevinvalencia,-186,randyaa
1,randyaa,-751,gabrielaa
1,gabrielaa,-855,francismatthew
1,francismatthew,-186,utaylor
1,utaylor,486,ochoamarco
1,ochoamarco,-4215,phillipaa
1,phillipaa,-1931,jonathanbaker
1,jonathanbaker,3193,jesseaa
1,jesseaa,637,joneslaura
1,joneslaura,910,NULL

2,turnerlisa,993,carlosgreen
2,carlosgreen,-2223,danielwoods
2,danielwoods,-3605,patelcindy
2,patelcindy,-205,matthewgarcia
2,matthewgarcia,-342,brooksrodney
2,brooksrodney,67,mirandanicholas
2,mirandanicholas,3046,djackson
2,djackson,1327,markhodges
2,markhodges,1842,michaelchristensen
