i,latencycrea,time
0,9319.473058,0.009359
1,325.950998,0.009707
2,256.458996,0.009983
3,231.386002,0.010227
4,156.166003,0.010395
5,136.331000,0.010543
6,132.978996,0.010688
7,106.719002,0.010802
8,81.575003,0.010890
9,81.994003,0.010978
10,89.398003,0.011072
11,82.273000,0.011160
12,80.737002,0.011247
13,81.434999,0.011334
14,81.714999,0.011421
15,81.015998,0.011509
16,81.855003,0.011596
17,81.364997,0.011683
18,81.924001,0.011771
19,82.063998,0.011859
20,81.086000,0.011945
21,87.302004,0.012038
22,81.785001,0.012126
23,81.855003,0.012214
24,81.714999,0.012300
25,81.436003,0.012388
26,80.807004,0.012474
27,82.063998,0.012562
28,81.015998,0.012649
29,97.149998,0.012752
30,84.997002,0.012845
31,81.853999,0.012932
32,166.502999,0.013106
33,93.167997,0.013207
34,205.684002,0.013419
35,111.677000,0.013538
36,132.629997,0.013677
37,143.594007,0.013826
38,83.810002,0.013916
39,90.934001,0.014013
40,80.598002,0.014098
41,82.553001,0.014186
42,78.222998,0.014270
43,79.689002,0.014355
44,77.803998,0.014438
45,78.153003,0.014522
46,77.803001,0.014605
47,77.174998,0.014688
48,75.568998,0.014768
49,79.060999,0.014852
50,77.595003,0.014935
51,77.873003,0.015018
52,78.432997,0.015102
53,77.734003,0.015185
54,77.873003,0.015268
55,78.641999,0.015352
56,77.384997,0.015435
57,78.153003,0.015518
58,77.384997,0.015601
59,77.664001,0.015684
60,76.126998,0.015766
61,77.944002,0.015849
62,76.197000,0.015931
63,77.384997,0.016013
64,76.128003,0.016095
65,79.199999,0.016180
66,76.406999,0.016262
67,76.128003,0.016344
68,77.593999,0.016427
69,77.174998,0.016509
70,76.406999,0.016591
71,77.313998,0.016674
72,93.447998,0.016773
73,83.182000,0.016862
74,78.502002,0.016945
75,78.153003,0.017029
76,94.914998,0.017130
77,78.432000,0.017214
78,95.893003,0.017315
79,78.083001,0.017397
80,78.990997,0.017481
81,77.664001,0.017564
82,77.384000,0.017647
83,76.896002,0.017729
84,77.176002,0.017812
85,76.825003,0.017894
86,76.755998,0.017977
87,75.010998,0.018058
88,77.174998,0.018141
89,77.174998,0.018224
90,79.060999,0.018308
91,77.593999,0.018391
92,76.197000,0.018473
93,77.454999,0.018556
94,77.803998,0.018639
95,78.083001,0.018722
96,78.012999,0.018806
97,105.460997,0.018919
98,135.074006,0.019062
99,79.270001,0.019147
100,83.460996,0.019236
101,80.318001,0.019325
102,80.177997,0.019410
103,78.363002,0.019494
104,78.712001,0.019577
105,77.384000,0.019661
106,76.755998,0.019743
107,76.894998,0.019825
108,77.176002,0.019908
109,77.525001,0.019991
110,78.432000,0.020075
111,77.664001,0.020158
112,78.153003,0.020242
113,78.571997,0.020325
114,78.153003,0.020409
115,83.949999,0.020499
116,82.901999,0.020588
117,97.568998,0.020690
118,99.525001,0.020796
119,83.181003,0.020884
120,118.869997,0.021007
121,85.765001,0.021098
122,207.710007,0.021312
123,87.931003,0.021406
124,108.813998,0.021520
125,82.623003,0.021608
126,113.912000,0.021728
127,82.972001,0.021817
128,81.434999,0.021904
129,79.619997,0.021989
130,79.969002,0.022074
131,78.083001,0.022159
132,87.720997,0.022253
133,103.924998,0.022362
134,59.993999,0.022427
135,57.200999,0.022490
136,57.759000,0.022554
137,69.702000,0.022629
138,57.410001,0.022692
139,82.621998,0.022782
140,113.912000,0.022903
141,65.022003,0.022974
142,79.201003,0.023059
143,56.291999,0.023121
144,77.174998,0.023204
145,58.807000,0.023268
146,84.717998,0.023359
147,78.083001,0.023444
148,78.641999,0.023542
149,58.666999,0.023606
150,77.873003,0.023689
151,62.717998,0.023758
152,75.639000,0.023838
153,55.804001,0.023901
154,75.499003,0.023981
155,54.057000,0.024041
156,76.128003,0.024122
157,55.314998,0.024183
158,75.219003,0.024263
159,57.968999,0.024326
160,75.778000,0.024407
161,54.824999,0.024468
162,75.639000,0.024548
163,53.778000,0.024608
164,173.976005,0.024789
165,78.571997,0.024875
166,132.978996,0.025015
167,74.101998,0.025097
168,61.949002,0.025164
169,123.131002,0.025293
170,58.876001,0.025359
171,81.924998,0.025446
172,58.668000,0.025509
173,80.388003,0.025595
174,58.178000,0.025659
175,79.340003,0.025743
176,59.644000,0.025808
177,78.780999,0.025892
178,58.178000,0.025956
179,77.106000,0.026039
180,56.222001,0.026099
181,65.371998,0.026306
182,60.832001,0.026373
183,62.788000,0.026442
184,58.247999,0.026506
185,91.631999,0.026603
186,58.038000,0.026667
187,79.969002,0.026752
188,59.086000,0.026818
189,78.990997,0.026903
190,57.059999,0.026966
191,78.293000,0.027050
192,57.270001,0.027113
193,78.222998,0.027197
194,58.178000,0.027260
195,82.063998,0.027348
196,57.689002,0.027412
197,77.523997,0.027495
198,57.620000,0.027558
199,85.275999,0.027649
200,56.991001,0.027713
201,79.199999,0.027800
202,57.200999,0.027864
203,77.454002,0.027947
204,56.852001,0.028010
205,76.686003,0.028093
206,56.291999,0.028155
207,77.593999,0.028238
208,56.780998,0.028301
209,77.664001,0.028384
210,56.641999,0.028447
211,82.133003,0.028535
212,57.760000,0.028599
213,77.384000,0.028681
214,66.768000,0.028754
215,83.949002,0.028844
216,58.179001,0.028907
217,77.245000,0.028991
218,57.689002,0.029054
219,77.803998,0.029137
220,57.199999,0.029201
221,79.060999,0.029285
222,57.410001,0.029349
223,77.664001,0.029433
224,60.064001,0.029499
225,77.454999,0.029582
226,57.199999,0.029645
227,75.778997,0.029727
228,58.597001,0.029791
229,77.593999,0.029875
230,57.689002,0.029938
231,76.267002,0.030020
232,56.501998,0.030083
233,76.965996,0.030165
234,60.621998,0.030232
235,76.965000,0.030314
236,57.339999,0.030377
237,76.687000,0.030460
238,57.689002,0.030523
239,92.679998,0.030621
240,89.118003,0.030717
241,84.858002,0.030808
242,95.684001,0.030910
243,81.086000,0.030997
244,62.437997,0.031066
245,157.424001,0.031229
246,61.461003,0.031297
247,78.990997,0.031382
248,57.550002,0.031445
249,78.361998,0.031529
250,58.179001,0.031592
251,77.732999,0.031675
252,57.270001,0.031738
253,76.965996,0.031820
254,57.759000,0.031883
255,81.785001,0.031971
256,56.711000,0.032034
257,78.083001,0.032118
258,58.107998,0.032183
259,77.593999,0.032265
260,57.759000,0.032329
261,77.105004,0.032411
262,57.339999,0.032475
263,80.179001,0.032561
264,57.199999,0.032625
265,114.609997,0.032745
266,63.835003,0.032817
267,79.689999,0.032902
268,58.666999,0.032967
269,78.921003,0.033051
270,60.622999,0.033118
271,78.710997,0.033202
272,59.505001,0.033267
273,77.734003,0.033351
274,57.689002,0.033414
275,78.502002,0.033498
276,57.968002,0.033562
277,78.363002,0.033645
278,59.714999,0.033712
279,77.874000,0.033796
280,58.598001,0.033859
281,77.593999,0.033942
282,58.178000,0.034005
283,76.755998,0.034088
284,57.200999,0.034152
285,78.153003,0.034235
286,59.016002,0.034299
287,79.480000,0.034385
288,58.597001,0.034449
289,77.734003,0.034532
290,57.689002,0.034596
291,77.245000,0.034678
292,58.178000,0.034742
293,84.717998,0.034832
294,56.780998,0.034895
295,78.083001,0.034978
296,58.107998,0.035043
297,79.899000,0.035128
298,58.247999,0.035192
299,78.851997,0.035276
300,56.851000,0.035340
301,82.204002,0.035431
302,57.199999,0.035495
303,78.012999,0.035578
304,57.828998,0.035642
305,78.293000,0.035725
306,62.927000,0.035794
307,77.176002,0.035876
308,60.343002,0.035943
309,77.174998,0.036026
310,58.247999,0.036090
311,82.063998,0.036177
312,58.179001,0.036241
313,78.222998,0.036325
314,118.730997,0.036451
315,146.806997,0.036607
316,103.156999,0.036717
317,86.394000,0.036810
318,63.904998,0.036880
319,78.851997,0.036965
320,59.086000,0.037030
321,82.831997,0.037118
322,58.597001,0.037182
323,78.083001,0.037266
324,58.597001,0.037330
325,78.222998,0.037414
326,58.946000,0.037479
327,80.737002,0.037565
328,58.597001,0.037630
329,77.734003,0.037714
330,61.321000,0.037781
331,77.384000,0.037864
332,61.530998,0.037931
333,77.315002,0.038014
334,58.107998,0.038078
335,78.222998,0.038162
336,59.155998,0.038227
337,83.042003,0.038315
338,59.645001,0.038381
339,77.734003,0.038464
340,56.991001,0.038528
341,77.523997,0.038610
342,59.574999,0.038675
343,76.336997,0.038757
344,59.086000,0.038822
345,76.686003,0.038904
346,57.689002,0.038967
347,80.038997,0.039053
348,57.689002,0.039118
349,80.528000,0.039205
350,57.689002,0.039268
351,77.942997,0.039351
352,60.064001,0.039418
353,76.965996,0.039500
354,57.270001,0.039563
355,77.245000,0.039646
356,57.199999,0.039710
357,81.994003,0.039798
358,57.059999,0.039861
359,64.883003,0.039963
360,77.384997,0.040045
361,90.793998,0.040142
362,60.972001,0.040210
363,80.177997,0.040296
364,57.689998,0.040359
365,78.432000,0.040444
366,57.759000,0.040508
367,78.293000,0.040591
