i,latencyope,time
0,453.343004,0.000468
1,392.999005,0.000873
2,216.229993,0.001098
3,195.347006,0.001302
4,203.937001,0.001513
5,197.372996,0.001719
6,203.867996,0.001931
7,198.979003,0.002138
8,193.671003,0.002339
9,202.191994,0.002549
10,197.792004,0.002754
11,198.002002,0.002960
12,193.950997,0.003162
13,203.518997,0.003373
14,198.000998,0.003578
15,196.395005,0.003782
16,202.191994,0.003992
17,193.671003,0.004193
18,274.966995,0.004475
19,226.357006,0.004710
20,199.538001,0.004917
21,198.979003,0.005124
22,200.376002,0.005331
23,202.541007,0.005542
24,197.652000,0.005747
25,194.370004,0.005949
26,202.262003,0.006159
27,198.000998,0.006364
28,200.865004,0.006573
29,198.559996,0.006779
30,194.438995,0.006981
31,202.191004,0.007190
32,224.261996,0.007422
33,261.487003,0.007692
34,203.029995,0.007902
35,202.470997,0.008112
36,202.821000,0.008323
37,208.408004,0.008538
38,208.127996,0.008754
39,197.443005,0.008959
40,196.813999,0.009163
41,199.397997,0.009369
42,194.230000,0.009571
43,192.484003,0.009770
44,199.677001,0.009977
45,267.005002,0.010252
46,312.821008,0.010572
47,248.636992,0.010835
48,211.830004,0.011055
49,272.381993,0.011335
50,267.494004,0.011610
51,203.938005,0.011821
52,198.000998,0.012027
53,202.611001,0.012237
54,200.794995,0.012446
55,229.220997,0.012683
56,196.324996,0.012886
57,199.538001,0.013093
58,204.846001,0.013306
59,199.538001,0.013513
60,202.472002,0.013722
61,193.461994,0.013923
62,196.534005,0.014127
63,202.470997,0.014336
64,196.255001,0.014540
65,196.255001,0.014744
66,198.559996,0.014949
67,198.420006,0.015155
68,197.792004,0.015360
69,197.511996,0.015565
70,196.185996,0.015768
71,199.048998,0.015974
72,210.294005,0.016191
73,201.144998,0.016399
74,210.851998,0.016618
75,202.330993,0.016828
76,198.070993,0.017033
77,199.468006,0.017240
78,194.927998,0.017442
79,197.931993,0.017647
80,201.422998,0.017856
81,199.397997,0.018062
82,198.420006,0.018268
83,194.230000,0.018470
84,199.048998,0.018676
85,200.934999,0.018885
86,197.023997,0.019090
87,198.000998,0.019294
88,227.614000,0.019529
89,267.353986,0.019807
90,209.944003,0.020025
91,198.141002,0.020231
92,198.491005,0.020437
93,228.801000,0.020673
94,199.468006,0.020881
95,206.102995,0.021095
96,193.671003,0.021298
97,200.934999,0.021506
98,200.655995,0.021715
99,216.298999,0.021938
100,286.700000,0.022232
101,279.016997,0.022524
102,285.932008,0.022818
103,229.918995,0.023056
104,222.864997,0.023287
105,220.001995,0.023514
106,219.373003,0.023740
107,218.674002,0.023966
108,217.905996,0.024192
109,216.998000,0.024416
110,244.166004,0.024668
111,222.097005,0.024898
112,242.210997,0.025148
113,237.112996,0.025393
114,1412.270009,0.026813
115,415.838003,0.027247
116,367.367989,0.027624
117,414.929993,0.028047
118,205.892997,0.028262
119,182.845004,0.028449
120,205.056000,0.028658
121,179.492999,0.028843
122,179.772993,0.029027
123,175.232999,0.029208
124,211.410996,0.029423
125,177.467999,0.029606
126,177.258000,0.029787
127,176.140995,0.029968
128,184.941004,0.030157
129,180.749994,0.030343
130,176.839007,0.030524
131,174.254994,0.030702
132,180.051997,0.030887
133,178.096001,0.031069
134,180.610994,0.031255
135,176.350994,0.031436
136,174.884000,0.031615
137,179.354000,0.031799
138,177.606998,0.031982
139,183.124997,0.032169
140,183.473996,0.032357
141,208.407000,0.032570
142,190.388004,0.032765
143,185.989004,0.032956
144,188.922000,0.033150
145,182.984993,0.033337
146,183.614000,0.033526
147,187.176003,0.033718
148,188.083999,0.033911
149,187.594997,0.034103
150,185.430006,0.034293
151,187.315003,0.034486
152,184.662000,0.034675
153,181.588999,0.034861
154,189.270999,0.035055
155,184.801000,0.035244
156,186.407997,0.035436
157,183.195007,0.035624
158,181.727999,0.035811
159,186.478006,0.036002
160,184.592005,0.036192
161,185.987999,0.036383
162,194.929002,0.036583
163,188.432998,0.036775
164,192.484003,0.036973
165,233.480998,0.037212
166,228.311997,0.037444
167,188.224003,0.037637
168,186.548001,0.037828
169,191.505998,0.038024
170,187.316007,0.038217
171,182.635995,0.038404
172,188.153994,0.038597
173,188.852006,0.038791
174,183.683995,0.038980
175,311.425014,0.039341
176,187.384998,0.039535
177,186.895995,0.039726
178,188.083999,0.039919
179,187.455007,0.040111
180,181.518000,0.040297
181,188.013000,0.040490
182,213.017003,0.040707
183,186.966994,0.040899
184,184.521996,0.041089
185,186.406993,0.041280
186,188.432998,0.041474
187,184.521996,0.041663
188,186.687001,0.041854
189,181.309006,0.042041
190,185.009994,0.042231
191,185.290002,0.042420
192,184.243007,0.042609
193,181.587995,0.042796
194,177.258000,0.042977
195,177.398004,0.043159
196,177.188995,0.043341
197,176.419999,0.043522
198,177.398004,0.043703
199,179.284005,0.043887
200,179.352995,0.044071
201,178.864997,0.044257
202,173.695997,0.044435
203,200.865004,0.044641
204,180.749994,0.044826
205,179.213006,0.045010
206,179.423005,0.045194
207,185.080993,0.045384
208,186.546997,0.045575
209,185.639001,0.045765
210,188.642996,0.045959
211,293.824007,0.046258
212,186.966994,0.046450
213,188.014004,0.046642
214,186.128003,0.046833
215,185.918005,0.047023
216,186.895995,0.047215
217,184.311997,0.047404
218,187.594997,0.047596
219,188.153994,0.047790
220,185.500001,0.047980
221,187.804995,0.048173
222,183.265001,0.048361
223,197.372996,0.048564
224,185.708996,0.048754
225,186.617006,0.048945
226,187.315003,0.049138
227,184.591001,0.049327
228,181.936994,0.049514
229,181.309006,0.049700
230,187.594997,0.049892
231,186.267993,0.050083
232,186.197998,0.050274
233,184.103003,0.050463
234,186.478006,0.050654
235,185.009994,0.050844
236,184.171993,0.051033
237,187.384998,0.051225
238,184.521996,0.051414
239,184.731995,0.051603
240,186.128003,0.051794
241,184.591001,0.051984
242,187.176003,0.052175
243,185.918994,0.052367
244,197.511996,0.052569
245,191.226005,0.052765
246,182.286996,0.052952
247,188.014004,0.053145
248,185.500001,0.053335
249,182.635995,0.053522
250,184.313001,0.053711
251,180.400995,0.053896
252,188.432998,0.054090
253,182.217002,0.054276
254,187.176003,0.054468
255,183.334007,0.054657
256,184.243007,0.054846
257,186.057994,0.055037
258,184.660996,0.055226
259,181.240001,0.055412
260,188.292994,0.055605
261,185.640005,0.055796
262,185.219993,0.055986
263,181.238996,0.056172
264,180.889998,0.056357
265,198.700000,0.056561
266,189.201994,0.056755
267,182.916003,0.056943
268,181.937998,0.057130
269,187.594997,0.057322
270,185.989004,0.057513
271,182.496005,0.057700
272,185.010998,0.057890
273,180.540999,0.058076
274,185.290002,0.058266
275,183.334007,0.058454
276,184.032993,0.058643
277,181.309006,0.058829
278,183.893004,0.059018
279,185.220997,0.059208
280,182.007003,0.059395
281,182.356001,0.059582
282,185.291006,0.059773
283,182.775999,0.059960
284,184.521996,0.060149
285,184.311997,0.060338
286,201.703006,0.060544
287,191.995001,0.060741
288,185.498997,0.060931
289,186.966994,0.061123
290,180.679999,0.061308
291,182.636999,0.061496
292,185.779005,0.061686
293,182.078002,0.061873
294,185.708996,0.062064
295,180.821007,0.062249
296,182.706004,0.062437
297,185.500001,0.062628
298,182.566000,0.062815
299,179.074006,0.062999
300,185.151002,0.063188
301,186.197998,0.063383
302,182.217002,0.063570
303,181.028998,0.063755
304,180.122006,0.063941
